Paper #,Experiment #,Original paper figure,Was experiment originally identified by RP:CB team,Did experiment continue after sharing with labs (before submitting protocol to eLife),Did the experiment protocol get submitted to eLife,Did the experiment protocol get accepted and published in eLife,Clarifications asked of original authors,Quality of response from original authors,Data shared by original authors,Code shared by original authors,Key materials asked to be shared,Key materials offered to be shared,Key materials shared,Type of experiment,What types of experimental techniques were utilized?,What category of experimental techniques were utilized?,Number of lab(s) contracted for the experiment,Lab(s) contracted for the experiment,Registered Report protocol,Experiment description,Original sample number (reported),Replication sample number (power),Replication sample number (reported),Replication experiment attempted,Replication experiment completed,"If experiment incomplete, why?",Changes needed during experimentation?,"If modifications were needed for experiment to proceed, what were they?",Changes able to be implemented during experimentation?,"If modifications unable to be fully implemented, why?",Replication study figure,Were materials shippped between replicating labs?,"If a material was shipped between replicating labs, what was it?",Was the original experiment blinded?,Was the replication experiment blinded?,Was the original experiment randomized?,Was the replication experiment randomized?,Was the original experiment sample size determined a priori?,Was the replication experiment sample size determined a priori?,Was a statistical test reported in the original paper?,What statistical test(s) was reported?,Was variation of biological repeats reported in the original experiment?,Notes
12,1,"3B,3E",Yes,Yes,Yes,Yes,2,5,0,0,NA,NA,NA,Cell-based,"cell culture,Western blot assay","cell,immuno",1,CRO8,1,"MAPK pathway analysis in low (A375) and high (RPMI-7951,OUMS-23,HT29) cell lines",unknown,4,NA,Yes,No,Western blots could not be reliably detected,3,Western blot conditions needed to be optimized for detecting pMEK and pERK; MAP3K8 antibody (Santa Cruz) not available so need to identify new MAP3K8 antibody; OUMS-23 cells did not grow as expected (switched to HT-29 cells),2,Time/budget constraint prevented further optimization of Western blot conditions; Unable to locate MAP3K8 antibody,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,
12,2,3D,Yes,Yes,Yes,Yes,2,5,2,0,NA,NA,NA,Cell-based,"cell culture,cell proliferation/viability assay (WST-1)",cell,1,CRO8,"2,3","Cellular dose response curves for PLX4720 inhibitor in low (A375) and high (RPMI-7951,OUMS-23,HT29) cell lines",unknown,3,3,Yes,Yes,NA,1,OUMS-23 cells did not grow as expected (switched to HT-29 cells),5,NA,NA,No,NA,No,No,No,No,No,Yes,No,NA,Yes,Varation across multiple cell lines reported
12,3,3I,Yes,Yes,Yes,Yes,3,5,0,0,NA,NA,NA,Cell-based,"cell culture,Western blot assay","cell,immuno",1,CRO8,4,MAPK pathway activation after MAP3K8 in RPMI-7951 cells,unknown,8,8,Yes,Yes,NA,0,NA,6,NA,NA,No,NA,No,No,No,No,No,Yes,No,NA,No,
12,4,4E,Yes,Yes,Yes,Yes,3,5,2,0,Plasmids,Plasmids,Plasmids,Cell-based,"viral transduction,cell culture,cell proliferation/viability assay (WST-1)",cell,1,CRO8,5,"Viability response for combinatorial MAPK pathway inhibition in A375 cells expressing MEK1, MEK1-DD, or MAP3K8",6,4,NA,Yes,No,Viability assay could not be reliably performed,3,"Viability assay needed to be optimized did not reliably give results for positive controls (e.g., MEK1-DD treated with PLX4720), which could be due to inefficient selection; MAP3K8 stable cells needed to be optimized since exogenous protein was not expressed (using V5 antibody to detect tag)",2,Time/budget constraint prevented further optimization of viability assay,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
12,5,4F,Yes,Yes,Yes,Yes,3,5,0,0,Plasmids,Plasmids,Plasmids,Cell-based,"viral transduction,cell culture,Western blot assay","cell,immuno",1,CRO8,6,"MAPK pathway analysis for combinatorial MAPK pathway inhibition in A375 cells expressing MEK1, MEK1-DD, or MAP3K8",unknown,3,NA,Yes,No,Western blots could not be reliably detected,3,Western blot conditions needed to be optimized for detecting pMEK and pERK; MAP3K8 antibody (Santa Cruz) not available so need to identify new MAP3K8 antibody; MAP3K8 stable cells needed to be optimized since exogenous protein was not expressed (using V5 antibody to detect tag),2,Time/budget constraint prevented further optimization of Western blot conditions; Unable to locate MAP3K8 antibody,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,
14,1,2A,Yes,Yes,Yes,No,2,0,0,0,Plasmids,Plasmids,NA,Cell-based,"transfection (plasmid),cell culture,Western blot assay","cell,immuno",1,CRO25,NA,NA,unknown,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
14,2,3A,Yes,Yes,Yes,No,2,0,0,0,Plasmids,Plasmids,NA,Cell-based,"transfection (plasmid),cell culture,immunoprecipitation,enzyme assay (kinase),Western blot assay","cell,immuno",1,CRO25,NA,NA,unknown,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
14,3,3C,Yes,Yes,Yes,No,2,0,0,0,Plasmids,Plasmids,NA,Cell-based,"transfection (plasmid),cell culture,Western blot assay","cell,immuno",1,CRO25,NA,NA,unknown,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
14,4,4C,Yes,Yes,Yes,No,2,0,0,0,Plasmids,Plasmids,NA,Cell-based,"transfection (plasmid),cell culture,Western blot assay","cell,immuno",1,CRO25,NA,NA,unknown,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
14,5,4D,Yes,Yes,Yes,No,2,0,0,0,Plasmids,Plasmids,NA,Cell-based,"transfection (plasmid),cell culture,Western blot assay","cell,immuno",1,CRO25,NA,NA,unknown,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
15,1,2B,Yes,Yes,Yes,Yes,4,1,0,0,NA,NA,NA,Animal,"peptide synthesis,cell culture,animal care,animal injection (cells, drug, prostate gland, iv),tissue harvesting,organic extraction/absorption assay","cell,animal,molecular",2,"Core4,CRO14","1,2,3",Tissue specific DOX accumulation,6,8,8,Yes,Yes,NA,0,NA,6,NA,1,Yes,Peptide,No,No,No,Yes,No,Yes,Yes,Student's t test,Yes,
15,2,"2C,S9A",Yes,Yes,Yes,Yes,4,1,0,0,NA,NA,NA,Animal,"peptide synthesis,cell culture,animal care,animal injection (cells, drug, prostate gland, iv),tissue harvesting","cell,animal,molecular",2,"Core4,CRO14","1,2,4",Tumor and body weight following treatment,30,21,21,Yes,Yes,NA,0,NA,6,NA,"2,3",Yes,Peptide,No,No,No,Yes,No,Yes,Yes,between-subjects ANOVA; contrast of between-subjects ANOVA,Yes,
15,3,2D,Yes,Yes,Yes,Yes,4,1,0,0,NA,NA,NA,Animal,"peptide synthesis,cell culture,animal care,animal injection (cells, drug, prostate gland, iv),tissue harvesting,immunohistochemistry","cell,animal,molecular",2,"Core4,CRO14","1,2,5",TUNEL staining of mouse tissues,30,18,18,Yes,Yes,NA,0,NA,6,NA,4,Yes,Peptide,No,Yes,No,Yes,No,Yes,Yes,contrast of between-subjects ANOVA,Yes,
15,4,2A,Yes,No,No,No,4,1,0,0,NA,NA,NA,Animal,"peptide synthesis,cell culture,animal care,animal injection (cells, drug, prostate gland, iv),tissue harvesting,immunofluorescence,microscopy (fluorescence)","cell,animal,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
16,1,2,Yes,Yes,Yes,Yes,2,0,0,0,Plasmids,No,No,Cell-based,"transfection (plasmid),cell culture,enzyme assay (oxidative/reductive),Western blot assay","cell,immuno",1,Core5,1,Isocitrate-dependent NADPH production and alpha-ketoglutarate-dependent NADPH consumption,3,7,7,Yes,Yes,NA,2,IDH oxidative and reductive assay conditions needed to be optimized because of an inability to detect a signal above noise with originally specified protein concentrations,5,NA,1,No,NA,No,No,No,No,No,Yes,No,NA,Yes,
16,2,3,Yes,Yes,Yes,Yes,1,0,0,0,Plasmids,No,No,Cell-based,"transfection (plasmid),cell culture,metabolite extraction,GC-MS","cell,molecular",1,Core5,2,2HG levels within HEK293T cells,unknown,3,10,Yes,Yes,NA,1,GC-MS conditions needed to be optimized from limited information in original paper,5,NA,2,No,NA,No,No,No,No,No,Yes,No,NA,No,
16,3,5,Yes,Yes,Yes,Yes,1,0,0,0,Plasmids,No,No,Patient Samples,"cell isolation,metabolite extraction,GC-MS","cell,molecular",2,"Core5,Core6",3,2HG levels in AML patient samples,27,12,12,Yes,Yes,NA,1,GC-MS conditions needed to be optimized from limited information in original paper,5,NA,3,Yes,Patient samples,Yes,No,No,No,No,Yes,No,NA,Yes,"Original study indicated as blinded assuming all samples in Figure 5C were; however, while the paper reports the 18 samples in Table 1 were analyzed blinded, it is unclear if these are included in the 27 samples reported in Figure 5C (and if they were part of Figure 5C if the other samples in Figure 5C were analyzed blinded)."
17,1,"1D,1E,S6A,S6B",Yes,No,No,No,2,3,1,0,"Antibodies,Plasmids","Antibodies,Plasmids",NA,Cell-based,"transfection (plasmid),cell culture,cell isolation,Western blot assay,genomic DNA extraction,dot blot assay","cell,immuno,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,unknown,Yes,
17,2,"3A,3C,S10C",Yes,No,No,No,1,4,1,0,Plasmids,Plasmids,NA,Animal,"viral transduction,cell culture,animal care,tissue harvesting,cell isolation,RNA extraction,qRT-PCR,FACS,flow cytometry","cell,immuno,animal,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
17,3,2C,Yes,No,No,No,2,0,2,0,NA,NA,NA,Patient Samples,"cell isolation,sequencing,genomic DNA extraction,dot blot assay","cell,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Mann-Whitney,Yes,
18,1,"S4A,S4B",Yes,No,No,No,2,5,1,0,"Cells,Plasmids","Cells,Plasmids",NA,Cell-based,"viral transduction,cell culture,flow cytometry,RNA extraction,qRT-PCR","cell,immuno,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
18,2,"1C,1D",Yes,No,No,No,2,4,1,0,Cells,Cells,NA,Cell-based,"cell culture,flow cytometry","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
18,3,"2A,2B,2C",Yes,No,No,No,3,5,2,0,"Cells,Plasmids","Cells,Plasmids",NA,Animal,"viral transduction,cell culture,animal care,animal injection (cells, luciferin,iv,IP),flow cytometry,IVIS","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Log-rank Mantel-Cox test,Yes,
19,1,3B,Yes,Yes,Yes,Yes,2,1,0,0,Cells,Cells,Cells,Cell-based,"cell culture,RNA extraction,qRT-PCR","cell,molecular",1,Core4,1,MYC expression in JQ1-treated MM.1S-luc cells,2,5,5,Yes,Yes,NA,0,NA,6,NA,1,No,NA,No,No,No,No,No,Yes,Yes,paired t test,Yes,
19,2,"7C,7D,7E",Yes,Yes,Yes,Yes,3,1,2,2,Cells,Cells,Cells,Animal,"cell culture,animal care,animal injection (cells, drug,luciferin,iv,IP),IVIS","cell,animal",1,Core4,2,Overall survival and tumor burden in JQ1-treated MM.1S-luc orthotopic xenograft model,19,22,24,Yes,Yes,NA,5,Timecourse of cell injection to randomization was extended because detection of bioluminescence in vivo was not detected even though disease progression was observed; Enrichment of luciferase expressing cells was performed before experiment was conducted to determine timecourse to observe bioluminescence before disease progression required euthanasia,5,NA,"2,3",No,NA,No,No,Yes,Yes,No,Yes,Yes,Log-rank Mantel-Cox test; Student's t test,Yes,Statistical test of original listed in methods.
20,1,"7Ca,7Cb,7Cc(left),S2A,S7Ca",Yes,Yes,Yes,Yes,3,5,2,2,Cells,Cells,Cells,Animal,"viral transduction,cell culture,cell isolation,Western blot assay,animal care,animal injection (cells, luciferin,SC,IP),IVIS,tissue harvesting","cell,immuno,animal",1,Core7,"1,2,3",Primary tumor growth and metastatic foci from mice injected with Cav1 WT or Cav1 KO pMEFs,34,61,61,Yes,Yes,NA,3,"Western blot to assess SMA levels resulted in no observable change, which lead to addition of new assay (collagen gel contraction assay) to assess ECM remodeling capabilities in vitro",5,NA,"1,2",No,NA,No,No,No,No,No,Yes,Yes,Student's t test; Mann-Whitney,Yes,Methods state unpaired Student's t-test or Mann-Whitney test was used
20,2,"7Cc(right),7Cd,S7Cb,S7Cc",Yes,Yes,Yes,Yes,3,5,2,2,Cells,Cells,Cells,Animal,"viral transduction,cell culture,cell isolation,Western blot assay,animal care,animal injection (cells, luciferin,SC,IP),tissue harvesting,immunofluorescence,microscopy (confocal)","cell,immuno,animal",3,"Core7,Core8,CRO15",4,"Fibronectin fiber orientation, elipitical form factor, SMA+ fibers, and correlation with metastatic foci from mice injected with Cav1 WT or Cav1 KO pMEFs",25,18,20,Yes,Partial,SMA staining could not be reliably detected,5,SMA staining was not specific (attempted to block nonspecific staining); Fibronectin orientation analysis using MetaMorph software could not be implemented (instead workflow using KNIME was implemented),4,SMA staining could not be reliably detected,3,Yes,Embedded tissue,No,Yes,No,Yes,No,Yes,Yes,Spearman's rank correlation; Student's t test; Mann-Whitney,Yes,Methods state unpaired Student's t-test or Mann-Whitney test was used
21,1,"4C,4D,S1",Yes,Yes,Yes,Yes,3,0,0,0,NA,NA,NA,Animal,"cell culture,animal care,animal injection (cells, drug,IP)","cell,animal",1,Core4,1,Tumor xenograft experiment testing efficacy of cimetidine in inhibiting the growth of tumors in SCID mice,30,61,61,Yes,Yes,NA,0,NA,6,NA,1,No,NA,No,No,No,Yes,No,Yes,Yes,Student's t test,Yes,
22,1,1B,Yes,No,No,No,2,4,0,0,Cells,Cells,NA,Cell-based,"cell culture,cell counting assay (Trypan)",cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,Varation across multiple cell lines reported
22,2,"3B,4A,S19A",Yes,No,No,No,3,3,0,0,Cells,Cells,NA,Cell-based,"cell culture,flow cytometry","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
22,3,3D,Yes,No,No,No,4,3,0,0,Cells,Cells,NA,Cell-based,"cell culture,cell counting assay (Trypan)",cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
22,4,S9B,Yes,No,No,No,5,0,0,0,Cells,Cells,NA,Animal,"cell culture,animal care,animal injection (cells, drug, SC, IP)","cell,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
23,1,2C,Yes,Yes,No,No,4,2,3,0,NA,NA,NA,Patient Samples,immunohistochemistry,immuno,1,Core20,NA,NA,82,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Fisher's exact test,Yes,
23,2,"3E,3F",Yes,Yes,No,No,4,3,1,0,Plasmids,Plasmids,NA,Cell-based,"viral transduction,cell culture,Western blot assay,cell counting assay (Coulter)","cell,immuno",1,Core21,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,unknown,Yes,
23,3,3H,Yes,Yes,No,No,2,3,2,2,Plasmids,Plasmids,NA,Animal,"viral transduction,cell culture,animal care,animal injection (cells, mammary fat pads)","cell,animal",1,Core21,NA,NA,18,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,unknown,Yes,"For pooled screen, methods state an unpaired t-test was conducted"
24,1,"3C,S3A",Yes,Yes,Yes,Yes,2,4,1,0,NA,NA,NA,Cell-based,"transfection (siRNA, plasmid),cell culture,luciferase assay,RNA extraction,qRT-PCR,microscopy (fluorescence)","cell,immuno,molecular",1,Core9,1,ceRNA depletion on PTEN-3'UTR luciferase reporter activity,4,4,4,Yes,Yes,NA,0,NA,6,NA,1,No,NA,No,No,No,No,No,Yes,Yes,Student's t test,Yes,
24,2,3D,Yes,Yes,Yes,Yes,2,4,1,0,Plasmids,Plasmids,Plasmids,Cell-based,"transfection (plasmid),cell culture,luciferase assay","cell,molecular",1,Core9,2,ceRNA overexpression on PTEN-3'UTR luciferase reporter activity,4,6,6,Yes,Yes,NA,0,NA,6,NA,2,No,NA,No,No,No,No,No,Yes,Yes,Student's t test,Yes,
24,3,"3G,3H,S3B",Yes,Yes,Yes,Yes,2,4,1,0,NA,NA,NA,Cell-based,"transfection (siRNA, plasmid),cell culture,Western blot assay,RNA extraction,qRT-PCR,microscopy (fluorescence)","cell,immuno,molecular",1,Core9,3,ceRNA depletion on PTEN expression,4,4,4,Yes,Yes,NA,0,NA,6,NA,3,No,NA,No,No,No,No,No,Yes,Yes,Student's t test,Yes,"A key material was asked to be shared (Cells), but were not coded since it was commercially available"
24,4,5B,Yes,Yes,Yes,Yes,3,4,0,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,cell proliferation/viability assay (Crystal violet),RNA extraction,qRT-PCR,microscopy (fluorescence)","cell,immuno,molecular",1,Core9,4,ceRNA depletion on cell proliferation,3,5,5,Yes,Yes,NA,0,NA,6,NA,4,No,NA,No,No,No,No,No,Yes,Yes,Student's t test,Yes,"A key material was asked to be shared (Cells), but were not coded since it was commercially available"
24,5,5A,Yes,Yes,Yes,Yes,2,3,1,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,Western blot assay,RNA extraction,qRT-PCR,microscopy (fluorescence)","cell,immuno,molecular",1,Core9,5,ceRNA depletion on AKT activation,unknown,7,NA,Yes,No,Western blot results with the phospho-AKT antibody were inconsistent and largely absent of a signal.,1,"Western blot conditions needed to be optimized for detecting pAKT (e.g., inclusion of phosphatases)",0,Time/budget constraint prevented further optimization of Western blot conditions,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,"A key material was asked to be shared (Cells), but were not coded since it was commercially available"
25,1,S3I,Yes,Yes,Yes,Yes,2,0,0,0,Plasmids,Plasmids,Plasmids,Cell-based,"transfection (plasmid),cell culture,metabolite extraction,GC-MS","cell,molecular",1,Core10,1,alpha-KG and 2-HG levels in U-87 MG cells expressing wild-type IDH1 or IDH1-R132H,2,5,NA,Yes,No,Low transfection rates; errors in plasmids,2,Errors in plasmids required correction; Transfections needed to be optimized to increase transfection rate,1,Time/budget constraint prevented further optimization of transfection rates,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
25,2,"3A,S3F",Yes,Yes,Yes,Yes,2,0,0,0,NA,NA,NA,Cell-based,"cell culture,Western blot assay","cell,immuno",1,Core10,2,H3K9me2 and H3K79me3 levels in U-87 MG cells treated with 2-HG or 2-HG + alpha-KG,3,3,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
25,3,"3D,S3J",Yes,Yes,Yes,Yes,3,0,0,0,Plasmids,Plasmids,Plasmids,Cell-based,"transfection (plasmid),cell culture,Western blot assay","cell,immuno",1,Core10,3,Methylation status in U-87 MG cells expressing IDH1-R132H treated with vehicle or oct-alpha-KG,3,6,NA,Yes,No,Low transfection rates; errors in plasmids,2,Errors in plasmids required correction; Transfections needed to be optimized to increase transfection rate,1,Time/budget constraint prevented further optimization of transfection rates,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
25,4,"7B,S7C",Yes,Yes,Yes,Yes,2,0,0,0,Plasmids,Plasmids,Plasmids,Cell-based,"transfection (plasmid),cell culture,genomic DNA extraction,dot blot assay","cell,molecular",1,Core10,4,"5hmC levels in 293T cells expressing TET-2CD with wild-type IDH1, IDH1-R132H, wild-type IDH2, IDH2-R140Q, or IDH2-R172K",3,4,NA,Yes,No,Low transfection rates; errors in plasmids,2,Errors in plasmids required correction; Transfections needed to be optimized to increase transfection rate,1,Time/budget constraint prevented further optimization of transfection rates,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
25,5,8A,Yes,Yes,Yes,Yes,3,0,0,0,Plasmids,Plasmids,Plasmids,Recombinant,"preparation of recombinant protein,dot blot assay",molecular,1,Core10,5,5hmC levels of TET2-CD protein treated with D-2-HG or L-2-HG,unknown,6,NA,Yes,No,Errors in plasmids,1,Errors in plasmids required correction,1,Time/budget constraint prevented completion,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,"Figure legend states error bars represent SD for triplicate experiments, but no error bars are shown in graph"
26,1,"1E,1F,2A,2D,2E",Yes,Yes,No,No,2,5,2,0,Cells,Cells,NA,Cell-based,"viral transduction,cell culture,Western blot assay,metabolite extraction,LC-MS","cell,immuno,molecular",1,Core10,NA,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test; Mann-Whitney,Yes,Methods state unpaired Student's t-test or Mann-Whitney test was used
26,2,2C,Yes,Yes,No,No,2,5,0,0,Cells,Cells,NA,Cell-based,"viral transduction,cell culture,RNA extraction,qRT-PCR","cell,molecular",1,Core10,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
26,3,2F,Yes,Yes,No,No,5,5,0,0,Cells,Cells,NA,Cell-based,"viral transduction,cell culture,transfection (siRNA),flow cytometry","cell,immuno",1,Core10,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
26,4,"4B,4C,4D,S11C",Yes,No,No,No,4,5,2,0,Organisms,Organisms,NA,Animal,"animal care,tissue harvesting,immunohistochemistry","immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test; Mann-Whitney,Yes,Methods state unpaired Student's t-test or Mann-Whitney test was used
27,1,2D,Yes,Yes,No,No,3,2,0,0,Plasmids,Plasmids,NA,Cell-based,"viral transduction,cell culture,RNA extraction,qRT-PCR","cell,molecular",1,Core22,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
27,2,3B,Yes,Yes,No,No,3,1,0,0,Plasmids,Plasmids,NA,Cell-based,"viral transduction,cell culture,RNA extraction,qRT-PCR","cell,molecular",1,Core22,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
27,3,"5B,5C,5D,S12",Yes,No,No,No,3,0,0,0,Plasmids,Plasmids,NA,Cell-based,"viral transduction,cell culture,immunofluorescence,microscopy (confocal)","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
28,1,1B,Yes,Yes,Yes,Yes,2,3,2,0,Cells,Cells,Cells,Animal,"cell culture,animal care,animal injection (cells, SC),animal surgery (incision, drug),tissue harvesting,cell isolation,FACS,RNA extraction,qRT-PCR","cell,immuno,animal,molecular",1,CRO16,"1,2,3",Expression of microRNAs in LAPC4 tumor cells,unknown,3,1,Yes,Yes,NA,4,LAPC4 cells did not form tumors (new source obtained from original lab that isolated cells); Gating strategy altered based on few CD44+ cells,5,NA,1,No,NA,No,Yes,No,Yes,No,Yes,No,NA,No,"Original study defined CD44+/CD44- as top 10%/bottom 10%, Replication defined CD44+/CD44- as top 1%/bottom 99%"
28,2,"4A,S4A,S4B,S5C",Yes,Yes,Yes,Yes,2,3,1,0,Cells,Cells,Cells,Animal,"cell culture,animal care,animal injection (cells, SC),animal surgery (incision, drug),tissue harvesting,cell isolation,viral transduction,Western blot assay,RNA extraction,qRT-PCR","cell,immuno,animal,molecular",1,CRO16,"4,5,6",Effect of miR-34a expression on tumor growth and CD44 expression,12,14,14,Yes,Yes,NA,5,LAPC4 cells did not form tumors (new source obtained from original lab that isolated cells); Infection protocol optimized to achieve high transduction efficiency; Unable to detect miR-34a in tumors (performed PCR to detect GFP marker),5,NA,2,No,NA,No,Yes,No,Yes,No,Yes,Yes,Student's t test,Yes,
28,3,4D,No,No,No,Yes,2,5,0,0,Plasmids,Plasmids,Plasmids,Cell-based,"transfection (plasmid, oligo),cell culture,luciferase assay","cell,molecular",1,CRO16,7,Luciferase assay to evaluate putative miR-34a binding sites in the 3'UTR of CD44,3,16,16,Yes,Yes,NA,0,NA,6,NA,3,No,NA,No,No,No,No,No,Yes,Yes,Student's t test,Yes,
28,4,"4E,4F,S12,S1D",Yes,No,No,No,3,3,2,2,Cells,Cells,NA,Animal,"cell culture,animal care,animal injection (cells, SC),animal surgery (incision, drug),tissue harvesting,cell isolation,viral transduction,microscopy (fluorescence),Western blot assay","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
29,1,"2A,S11A,S11B",Yes,Yes,Yes,Yes,2,0,0,0,Cells,No,No,Cell-based,"cell culture,cell proliferation/viability assay (Cell Titer 96 Aqueous One)",cell,1,CRO3,"1,2",Cellular I-BET151 dose response curves in MLL-fusion leukaemia and non-MLL-fusion leukaemia cell lines,unknown,3,5,Yes,Yes,NA,1,Range of I-BET151 doses needed to be altered due to solubility of I-BET151,5,NA,1,No,NA,No,No,No,No,No,Yes,No,NA,Yes,Varation across multiple cell lines reported
29,2,3D,Yes,Yes,Yes,Yes,3,0,0,0,Cells,No,No,Cell-based,"cell culture,RNA extraction,qRT-PCR","cell,molecular",1,CRO3,3,BCL2 expression in I-BET151 treated MV4;11 and K-562 cells,3,3,3,Yes,Yes,NA,0,NA,6,NA,2,No,NA,No,No,No,No,No,Yes,No,NA,Yes,
29,3,"4B,4C,4D,S16A,S16B",Yes,Yes,Yes,Yes,4,1,0,0,Cells,No,No,Animal,"cell culture,animal care,animal injection (cells, drug, IV),tissue harvesting,cell isolation,flow cytometry,immunohistochemistry","cell,immuno,animal",1,Core11,"4,5",Survival and tumor burden in I-BET151 treated xenograft mouse model of MLL-fusion leukaemia,10,24,23,Yes,Yes,NA,4,Timecourse between cell injection and animal randomization was extended because detectable disease burden was not achieved; Cell death assay needed to be modified to prevent inability to properly compensate,5,NA,"3,4",No,NA,No,No,No,Yes,No,Yes,Yes,unknown,Yes,
30,1,"1C,S4E",Yes,No,No,No,5,0,0,0,"Organisms,Cells",No,NA,Animal,"animal care,cell isolation,FACS,animal injection (cells, IV),tissue harvesting","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
30,2,1D,Yes,No,No,No,3,0,0,0,"Organisms,Cells",No,NA,Animal,"animal care,cell isolation,FACS,animal injection (cells, IV, antibodies),tissue harvesting","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
