Paper #,Study Title (O),dir,Experiment #,Effect #,Description of effect (O),Replicate (R),n_internal_reps,frac_internal_reps_positive
28,The microRNA miR-34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,Paper 28 - The microRNA miR34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,2,2,miR-34a expression in tumors expression miR-34a vs negative control.,no,1,0.0
28,The microRNA miR-34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,Paper 28 - The microRNA miR34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,2,3,CD44 expression in tumors,no,1,0.0
28,The microRNA miR-34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,Paper 28 - The microRNA miR34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,3,1,Luciferase values of miR-34a expression with wild-type reporter vs M1M2 reporter,no,1,0.0
28,The microRNA miR-34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,Paper 28 - The microRNA miR34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,3,2,Luciferase values of miR-34a expression with wild-type reporter vs control expression with wild-type reporter,no,1,0.0
28,The microRNA miR-34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,Paper 28 - The microRNA miR34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,3,3,Luciferase values of miR-34a expression with M1M2 reporter vs control expression with M1M2 reporter,no,1,0.0
29,Inhibition of BET recruitment to chromatin as an effective treatment for MLL-fusion leukaemia,Paper 29 - Inhibition of BET recruitment to chromatin as an effective treatment for MLLfusion leukaemia,1,1,IC50 values of MV4;11 cells vs largest dose (100 µM) tested in K-562 cells,yes,1,1.0
29,Inhibition of BET recruitment to chromatin as an effective treatment for MLL-fusion leukaemia,Paper 29 - Inhibition of BET recruitment to chromatin as an effective treatment for MLLfusion leukaemia,2,1,Relative BCL2 expression of MV4;11 cells treated with I-BET151 vs constant of 1 (DMSO treated cells),yes,1,1.0
29,Inhibition of BET recruitment to chromatin as an effective treatment for MLL-fusion leukaemia,Paper 29 - Inhibition of BET recruitment to chromatin as an effective treatment for MLLfusion leukaemia,2,2,Relative BCL2 expression of K-562 cells treated with I-BET151 vs constant of 1 (DMSO treated cells),no,1,0.0
29,Inhibition of BET recruitment to chromatin as an effective treatment for MLL-fusion leukaemia,Paper 29 - Inhibition of BET recruitment to chromatin as an effective treatment for MLLfusion leukaemia,2,3,Relative BCL2 expression of MV4;11 cells treated with I-BET151 vs K-562 cells treated with I-BET151,yes,1,1.0
29,Inhibition of BET recruitment to chromatin as an effective treatment for MLL-fusion leukaemia,Paper 29 - Inhibition of BET recruitment to chromatin as an effective treatment for MLLfusion leukaemia,3,1,Survival of I-BET151 vs vehicle control,no,1,0.0
29,Inhibition of BET recruitment to chromatin as an effective treatment for MLL-fusion leukaemia,Paper 29 - Inhibition of BET recruitment to chromatin as an effective treatment for MLLfusion leukaemia,3,2,Leukaemia burden in bone marrow of I-BET151 vs vehicle control,no,1,0.0
37,Systematic identification of genomic markers of drug sensitivity in cancer cells,Paper 37 - Systematic identification of genomic markers of drug sensitivity in cancer cells,1,1,Effective concentrations of Ewing's sarcoma cell lines vs osteosarcoma cell lines,no,2,0.0
37,Systematic identification of genomic markers of drug sensitivity in cancer cells,Paper 37 - Systematic identification of genomic markers of drug sensitivity in cancer cells,2,1,IC50 values of EWS-FLI1 transformed cells vs FUS-CHOP transformed cells,no,1,0.0
37,Systematic identification of genomic markers of drug sensitivity in cancer cells,Paper 37 - Systematic identification of genomic markers of drug sensitivity in cancer cells,2,2,IC50 values of SK-N-MC cells vs EWS-FLI1 transformed cells,no,1,0.0
37,Systematic identification of genomic markers of drug sensitivity in cancer cells,Paper 37 - Systematic identification of genomic markers of drug sensitivity in cancer cells,3,1,IC50 values of control siRNA transfected cells vs EWS-FLI1 siRNA transfected cells,no,1,0.0
39,The CD47-signal regulatory protein alpha (SIRPa) interaction is a therapeutic target for human solid tumors,Paper 39 - The CD47signal regulatory protein alpha SIRPa interaction is a therapeutic target for human solid tumors,1,1,Tumor weights of IgG vs anti-CD47 (MIAP410),no,1,0.0
39,The CD47-signal regulatory protein alpha (SIRPa) interaction is a therapeutic target for human solid tumors,Paper 39 - The CD47signal regulatory protein alpha SIRPa interaction is a therapeutic target for human solid tumors,1,2,"hematological counts of NT, IgG, CD47",yes,1,1.0
41,Intestinal inflammation targets cancer-inducing activity of the microbiota,Paper 41 - Intestinal inflammation targets cancerinducing activity of the microbiota,1,1,Intrinsic doubling time of bacterial growth of pks island deletion vs wild-type,no,1,0.0
41,Intestinal inflammation targets cancer-inducing activity of the microbiota,Paper 41 - Intestinal inflammation targets cancerinducing activity of the microbiota,2,1,Overall survival of germ-free Il10-/- mice mono-associated with E.coli NC101 or NC101deltapks,yes,1,1.0
42,Melanoma exosomes educate bone marrow progenitor cells toward a pro-metastatic phenotype through MET,Paper 42 - Melanoma exosomes educate bone marrow progenitor cells toward a prometastatic phenotype through MET,1,1,Met expression in shMet exosomes compared to a constant of 1 (shScr exosomes),yes,1,1.0
42,Melanoma exosomes educate bone marrow progenitor cells toward a pro-metastatic phenotype through MET,Paper 42 - Melanoma exosomes educate bone marrow progenitor cells toward a prometastatic phenotype through MET,2,1,Metastatic burden in lungs of shScr injected mice vs liposome,no,1,0.0
42,Melanoma exosomes educate bone marrow progenitor cells toward a pro-metastatic phenotype through MET,Paper 42 - Melanoma exosomes educate bone marrow progenitor cells toward a prometastatic phenotype through MET,2,2,Metastatic burden in lungs of shScr injected mice vs shMet,no,1,0.0
42,Melanoma exosomes educate bone marrow progenitor cells toward a pro-metastatic phenotype through MET,Paper 42 - Melanoma exosomes educate bone marrow progenitor cells toward a prometastatic phenotype through MET,2,3,Metastatic burden in femurs of shScr injected mice vs liposome,no,1,0.0
42,Melanoma exosomes educate bone marrow progenitor cells toward a pro-metastatic phenotype through MET,Paper 42 - Melanoma exosomes educate bone marrow progenitor cells toward a prometastatic phenotype through MET,2,4,Metastatic burden in femurs of shScr injected mice vs shMet,no,1,0.0
44,Melanoma genome sequencing reveals frequent PREX2 mutations,Paper 44 - Melanoma genome sequencing reveals frequent PREX2 mutations,1,1,Tumor-free survival of GFP vs PREX2-G844D,no,1,0.0
44,Melanoma genome sequencing reveals frequent PREX2 mutations,Paper 44 - Melanoma genome sequencing reveals frequent PREX2 mutations,1,2,Tumor-free survival of GFP vs PREX2-Q1430,no,1,0.0
44,Melanoma genome sequencing reveals frequent PREX2 mutations,Paper 44 - Melanoma genome sequencing reveals frequent PREX2 mutations,1,3,Tumor-free survival of PREX2-WT vs PREX2-G844D,no,1,0.0
44,Melanoma genome sequencing reveals frequent PREX2 mutations,Paper 44 - Melanoma genome sequencing reveals frequent PREX2 mutations,1,4,Tumor-free survival of PREX2-WT vs PREX2-Q1430,no,1,0.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,1,2HG levels in cells expressing IDH1-WT vs IDH1-R132H,yes,1,1.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,2,2HG levels in cells expressing IDH2-WT vs IDH2-R132H,yes,1,1.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,3,"H3K4me3 levels in cells expressing IDH1-WT, IDH1-R132H, IDH2-WT, IDH2-R172K",no,1,0.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,4,"H3K9me3 levels in cells expressing IDH1-WT, IDH1-R132H, IDH2-WT, IDH2-R172K",no,1,0.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,5,"H3K36me3 levels in cells expressing IDH1-WT, IDH1-R132H, IDH2-WT, IDH2-R172K",no,1,0.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,6,"H3K79me2 levels in cells expressing IDH1-WT, IDH1-R132H, IDH2-WT, IDH2-R172K",no,1,0.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,7,H3K9me2 levels in cells expressing IDH1-WT vs IDH1-R132H,no,1,0.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,8,H3K9me2 levels in cells expressing IDH2-WT vs IDH2-R132H,no,1,0.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,9,"Correlation of 2HG levels and H3K4me3 levels in cells expressing IDH1-WT, IDH1-R132H, IDH2-WT, IDH2-R172K",no,1,0.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,10,"Correlation of 2HG levels and H3K9me2 levels in cells expressing IDH1-WT, IDH1-R132H, IDH2-WT, IDH2-R172K",no,1,0.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,11,"Correlation of 2HG levels and H3K9me3 levels in cells expressing IDH1-WT, IDH1-R132H, IDH2-WT, IDH2-R172K",no,1,0.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,12,"Correlation of 2HG levels and H3K36me3 levels in cells expressing IDH1-WT, IDH1-R132H, IDH2-WT, IDH2-R172K",no,1,0.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,1,13,"Correlation of 2HG levels and H3K79me2 levels in cells expressing IDH1-WT, IDH1-R132H, IDH2-WT, IDH2-R172K",no,1,0.0
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation,Paper 47 - IDH mutation impairs histone demethylation and results in a block to cell differentiation,2,1,2HG levels in cells expressing IDH2-WT vs IDH2-R132H,yes,1,1.0
48,Transcriptional amplification in tumor cells with elevated c-Myc,Paper 48 - Transcriptional amplification in tumor cells with elevated cMyc,1,1,"Total RNA per 1000 cells at 0hr, 1hr, 24hr",no,2,0.5
48,Transcriptional amplification in tumor cells with elevated c-Myc,Paper 48 - Transcriptional amplification in tumor cells with elevated cMyc,2,1,Active gene expression at 0 hr vs 1 hr,yes,2,1.0
48,Transcriptional amplification in tumor cells with elevated c-Myc,Paper 48 - Transcriptional amplification in tumor cells with elevated cMyc,2,2,Active gene expression at 0 hr vs 24 hr,yes,2,1.0
48,Transcriptional amplification in tumor cells with elevated c-Myc,Paper 48 - Transcriptional amplification in tumor cells with elevated cMyc,2,3,Active gene expression at 1 hr vs 24 hr,yes,2,1.0
48,Transcriptional amplification in tumor cells with elevated c-Myc,Paper 48 - Transcriptional amplification in tumor cells with elevated cMyc,2,4,Silent gene expression at 0 hr vs 1 hr,yes,2,1.0
48,Transcriptional amplification in tumor cells with elevated c-Myc,Paper 48 - Transcriptional amplification in tumor cells with elevated cMyc,2,5,Silent gene expression at 0 hr vs 24 hr,yes,2,1.0
48,Transcriptional amplification in tumor cells with elevated c-Myc,Paper 48 - Transcriptional amplification in tumor cells with elevated cMyc,2,6,Silent gene expression at 1 hr vs 24 hr,no,2,0.5
50,Fusobacterium nucleatum infection is prevalent in human colorectal carcinoma,Paper 50 - Fusobacterium nucleatum infection is prevalent in human colorectal carcinoma,1,1,Change in F. nucleatum DNA in colorectal carcinoma vs adjacent normal tissue,yes,1,1.0
